"Hydrachnidia";"Ampularidae";"Atyidae";"Baetidae";"Belastomatidae";"Caenidae";"Ceratopogonidae";"Coenagrionidae";"Conchostraca";"Corixidae";"Curculionidae";"Chaoboridae";"Chironomidae_L";"Chironomidae_P";"Dytiscidae_L";"Dytiscidae_A";"Gerridae";"Gomphidae";"Glossosomatidae";"Hidrophilidae_L";"Hidrophilide_A";"Hirudinea";"Leptohyphidae";"Leptoceridae";"Libellulidae";"Lymnaeidae";"Naucoridae";"Notonectidae";"Oligochaeta";"Ostracoda";"Planorbidae";"Physidae";"Sphaeridae";"Thiaridae";"Veliidae"
"B-A-MU-4";0;0;0;0;0;0;0;0;0;0;0;0;6.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.75;0;0;0;0;0;0;0
"B-R-EP-2";0;0;0;0;0;0;2.08333333333333;0;0;0;0;0;10.4166666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260.416666666667;0;0;0;0;2622.91666666667;0
"B-R-EP-3";0;0;6.25;0;0;0;0;0;0;0;0;0;12.5;0;0;0;0;2.08333333333333;0;0;0;0;0;0;0;0;0;0;27.0833333333333;0;0;0;0;879.166666666667;0
"B-R-EP-4";0;0;20.8333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.08333333333333;0;0;2768.75;0
"S-A-RE-1";0;0;0;33.3333333333333;0;0;6.25;2.08333333333333;310.416666666667;0;0;0;1897.91666666667;50;2.08333333333333;0;0;0;0;2.08333333333333;14.5833333333333;0;0;0;54.1666666666667;6.25;2.08333333333333;0;922.916666666667;0;41.6666666666667;0;0;0;0
"S-A-RE-2";0;0;0;0;0;0;2.08333333333333;0;50;0;0;0;33.3333333333333;0;0;0;0;0;0;0;0;0;0;0;33.3333333333333;0;0;0;2116.66666666667;6.25;0;10.4166666666667;0;0;0
"S-A-RE-3";0;0;0;4.16666666666667;4.16666666666667;0;27.0833333333333;4.16666666666667;14.5833333333333;43.75;10.4166666666667;0;102.083333333333;0;2.08333333333333;14.5833333333333;0;0;0;12.5;106.25;6.25;0;0;108.333333333333;0;22.9166666666667;22.9166666666667;1979.16666666667;264.583333333333;37.5;41.6666666666667;0;0;0
"S-A-RE-4";0;0;0;0;0;56.25;2.08333333333333;27.0833333333333;0;0;0;0;6.25;0;0;0;0;4.16666666666667;0;8.33333333333333;31.25;10.4166666666667;0;0;112.5;0;0;0;3045.83333333333;0;314.583333333333;10.4166666666667;0;0;0
"S-R-SE-1";0;0;0;0;0;2.08333333333333;0;4.16666666666667;0;0;0;0;22.9166666666667;0;0;0;0;2.08333333333333;0;2.08333333333333;0;0;0;0;0;0;0;0;0;0;8.33333333333333;0;0;22.9166666666667;0
"S-R-SE-2";0;0;0;0;0;0;0;0;0;0;0;0;2.08333333333333;0;0;0;0;4.16666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2633.33333333333;0
"S-R-SE-3";0;0;56.25;0;0;0;0;0;0;0;0;0;8.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.25;0;0;8635.41666666667;0
"S-R-SE-4";0;0;39.5833333333333;0;0;0;14.5833333333333;0;0;0;0;0;1735.41666666667;6.25;0;37.5;0;16.6666666666667;0;0;31.25;0;0;0;0;0;2.08333333333333;6.25;0;0;489.583333333333;0;0;11852.0833333333;0
